	Strain	Plate	Media	Replicates
0	WT	PM01	M9 minimal media no C source	R1
96	ybaO	PM01	M9 minimal media no C source	R1
192	zntR	PM01	M9 minimal media no C source	R1
288	zur	PM01	M9 minimal media no C source	R1
